SampleID	Collection_date	depth	ID	Environmental_medium	Geographic.Location	Study_zone	Ecological_type	season	Mangrove.system	Depths	sample_id_original	sample_id_clean	network_group	network_dataset	network_label	network_system	network_zone	depth_class_raw	depth_class	depth_raw	metadata_sample_id_original	matrix_sample_id	network_comparison	network_group_canonical
S1A015	2023-09-28	0-15	S1A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Surface	S1A015	S1A015	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Surface	Surface	0-15	S1A015	S1A015	Interior_relict vs Coastal_natural	Interior_relict
S1A1530	2023-09-28	16-30	S1A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	mid	S1A1530	S1A1530	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	mid	Mid	16-30	S1A1530	S1A1530	Interior_relict vs Coastal_natural	Interior_relict
S1A3050	2023-09-28	31-45	S1A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Deep	S1A3050	S1A3050	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Deep	Deep	31-45	S1A3050	S1A3050	Interior_relict vs Coastal_natural	Interior_relict
S1A5075	2023-09-28	50-70	S1A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Deep	S1A5075	S1A5075	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Deep	Deep	50-70	S1A5075	S1A5075	Interior_relict vs Coastal_natural	Interior_relict
S1B07	2023-09-28	0-15	S1B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Surface	S1B07	S1B07	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Surface	Surface	0-15	S1B07	S1B07	Interior_relict vs Coastal_natural	Interior_relict
S1B2230	2023-09-28	16-30	S1B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	mid	S1B2230	S1B2230	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	mid	Mid	16-30	S1B2230	S1B2230	Interior_relict vs Coastal_natural	Interior_relict
S1B3040	2023-09-28	31-45	S1B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Deep	S1B3040	S1B3040	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Deep	Deep	31-45	S1B3040	S1B3040	Interior_relict vs Coastal_natural	Interior_relict
S1B6575	2023-09-28	50-70	S1B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Deep	S1B6575	S1B6575	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Deep	Deep	50-70	S1B6575	S1B6575	Interior_relict vs Coastal_natural	Interior_relict
S2A1727	2023-09-28	16-30	S2A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	mid	S2A1727	S2A1727	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	mid	Mid	16-30	S2A1727	S2A1727	Interior_relict vs Coastal_natural	Interior_relict
S2A3545	2023-09-28	31-45	S2A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Deep	S2A3545	S2A3545	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Deep	Deep	31-45	S2A3545	S2A3545	Interior_relict vs Coastal_natural	Interior_relict
S2A5060	2023-09-28	50-70	S2A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Deep	S2A5060	S2A5060	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Deep	Deep	50-70	S2A5060	S2A5060	Interior_relict vs Coastal_natural	Interior_relict
S2A515	2023-09-28	0-15	S2A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Surface	S2A515	S2A515	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Surface	Surface	0-15	S2A515	S2A515	Interior_relict vs Coastal_natural	Interior_relict
S2B07	2023-09-28	0-15	S2B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Surface	S2B07	S2B07	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Surface	Surface	0-15	S2B07	S2B07	Interior_relict vs Coastal_natural	Interior_relict
S2B1522	2023-09-28	16-30	S2B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	mid	S2B1522	S2B1522	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	mid	Mid	16-30	S2B1522	S2B1522	Interior_relict vs Coastal_natural	Interior_relict
S2B3040	2023-09-28	31-45	S2B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Deep	S2B3040	S2B3040	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Deep	Deep	31-45	S2B3040	S2B3040	Interior_relict vs Coastal_natural	Interior_relict
S2B5565	2023-09-28	50-70	S2B	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Deep	S2B5565	S2B5565	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Deep	Deep	50-70	S2B5565	S2B5565	Interior_relict vs Coastal_natural	Interior_relict
S3A07	2023-09-28	0-15	S3A	sediment	Mexico:Tabasco	Rio San Pedro	Fringe	flood	San Pedro River	Surface	S3A07	S3A07	Interior_relict	depth_natural	Interior relicto vs Términos natural	San Pedro River	Rio San Pedro	Surface	Surface	0-15	S3A07	S3A07	Interior_relict vs Coastal_natural	Interior_relict
